"","author","afr","alb","ara","arm","aze","baq","bas","bel","ben","bnt","bos","bre","bul","cat","chi","cze","dan","dsb","dut","eng","epo","est","fao","fin","fre","fry","geo","ger","gla","gle","glg","gre","gsw","heb","hin","hrv","hsb","hun","ice","ind","ita","jpn","kaz","kir","kor","kur","lat","lav","lit","ltz","mac","mal","may","mlg","mlt","mon","mul","nds","nno","nor","oci","per","pol","por","roh","rum","rus","sin","slo","slv","spa","srp","swa","swe","tha","tir","tur","ukr","und","urd","vie","wel","wen","wln","xxx","yid","na_count"
"22","Göttler,Norbert",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"23","Grän,Christine",0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
"24","Grass,Günter",0,1,5,0,0,2,0,0,0,0,0,0,5,8,17,12,4,0,14,22,0,5,0,7,17,0,2,1,0,0,0,8,0,5,0,6,0,7,0,0,9,5,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,7,0,5,21,8,0,6,11,0,2,5,43,5,0,8,0,0,5,3,0,0,2,0,0,0,0,0,49
"25","Gruber,Marianne",0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
"26","Grün,Maxvonder",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
"27","Hacker,Katharina",0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,72
"28","Hackl,Erich",0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,9,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,68
"29","Hauptmann,Gaby",0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,3,3,0,3,0,3,5,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,9,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,0,0,5,0,6,2,5,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,62
"30","Hebbel,Friedrich",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
"31","Hesse,Hermann",0,9,17,5,3,2,0,3,0,0,0,0,14,24,21,28,11,0,36,40,1,12,0,14,55,0,9,9,0,0,3,19,0,0,2,18,0,33,0,0,141,14,0,0,24,1,3,9,28,0,6,1,1,0,0,0,0,0,0,13,0,22,40,53,0,21,44,0,23,14,90,45,0,12,3,0,25,9,0,0,5,0,0,0,0,0,37
"32","Hilsenrath,Edgar",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,8,10,1,1,0,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,4,1,0,0,1,0,1,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,65
"33","Hochhuth,Rolf",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
"34","Hölderlin,Friedrich",0,1,0,0,0,3,0,1,0,0,0,1,2,2,2,3,3,0,1,9,0,2,0,2,11,0,0,20,0,0,0,2,0,2,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,7,4,0,1,0,0,1,2,22,4,0,3,0,0,1,0,0,0,0,0,0,0,0,0,54
"35","Jelinek,Elfriede",0,5,0,0,0,0,0,0,0,0,0,0,7,5,17,13,4,0,20,11,0,2,0,3,26,0,2,1,0,0,0,4,0,2,1,3,0,4,0,1,17,8,0,0,1,0,0,2,4,0,3,0,0,0,0,0,0,0,0,7,0,0,11,9,0,6,19,0,3,5,16,8,0,10,0,0,8,2,0,0,2,0,0,0,0,0,48
"36","Kafka,Franz",0,4,7,0,1,4,0,0,0,0,1,1,10,23,4,28,9,0,15,66,2,4,1,4,31,0,0,11,0,0,2,11,0,5,0,9,0,12,2,1,33,4,0,0,2,0,0,7,10,0,3,0,0,0,0,1,0,0,0,21,0,5,22,31,0,7,55,0,5,9,177,36,0,20,0,0,21,8,0,1,3,0,0,0,0,0,38
"37","Kehlmann,Daniel",0,2,0,1,0,0,0,1,0,0,1,0,7,2,6,5,6,0,7,9,0,5,1,4,6,0,0,0,0,0,2,6,0,2,0,7,0,9,1,1,11,3,0,0,2,0,0,3,1,0,3,0,0,0,0,1,0,0,0,7,0,0,2,7,0,2,6,0,1,3,7,4,0,5,0,0,7,3,0,0,1,0,0,0,0,0,44
"38","Keller,Gottfried",0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"39","Köhler,Karen",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81
"40","Lenz,Siegfried",0,1,0,0,0,0,0,0,0,0,0,0,2,1,9,1,9,0,11,11,0,0,0,2,7,0,0,1,0,0,0,2,0,4,0,0,0,6,1,0,4,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,5,0,0,7,2,0,0,4,0,0,1,13,1,0,4,0,0,6,0,0,0,1,0,0,0,0,0,57
"41","Loidolt,Gabriel",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
"42","Mann,Thomas",0,2,2,0,0,1,0,0,0,0,0,0,5,18,9,5,12,0,22,47,2,6,0,8,30,0,2,3,0,0,2,21,0,4,0,7,0,24,4,0,28,1,0,0,2,0,0,2,4,0,4,0,0,0,0,0,0,0,0,18,0,2,19,40,0,19,17,0,1,3,64,24,0,9,0,0,19,1,0,0,1,0,0,0,0,0,44
"43","Marti,Kurt",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"44","Mercier,Pascal",0,1,0,0,0,0,0,0,0,0,1,0,2,0,2,2,3,0,9,7,0,1,0,2,5,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,5,0,1,0,0,0,1,5,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,58
"45","Minelli,Michèle",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"46","Müller,Herta",0,2,2,0,1,1,0,0,0,0,1,0,1,4,2,5,9,0,14,14,0,2,0,8,10,0,1,0,0,0,2,4,0,0,0,3,0,5,2,0,10,3,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,0,0,5,0,3,9,10,0,10,4,0,2,6,17,3,0,13,0,0,4,1,0,0,0,0,0,0,0,0,47
"47","Müller,Wilhelm",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80
"48","Musil,Robert",0,1,1,3,1,1,0,0,0,0,0,0,2,3,0,7,2,0,6,6,0,2,0,0,5,0,1,1,0,0,1,3,0,1,0,3,0,5,0,0,13,2,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,1,3,0,1,4,8,0,2,3,0,2,3,14,3,0,4,0,0,5,1,0,0,0,0,0,0,0,0,47
"49","Öhri,Armin",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"50","Remarque,ErichMaria",0,6,0,0,1,0,0,1,0,0,0,0,30,0,1,36,3,0,6,19,0,18,0,1,8,0,0,0,0,0,0,3,0,1,0,1,0,23,0,0,11,1,0,0,0,0,1,14,31,0,0,0,0,0,0,0,0,0,0,6,0,1,53,5,0,8,77,0,13,1,3,12,0,6,0,0,0,3,0,0,6,0,0,0,0,0,52
"51","Roth,Joseph",0,1,0,0,1,2,0,0,0,0,0,0,9,7,0,9,4,0,19,29,0,7,0,1,21,0,1,0,0,0,1,9,0,5,0,4,0,1,0,0,25,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,20,7,0,6,4,0,1,4,57,7,0,8,0,0,4,2,0,0,0,0,0,0,0,0,52
"52","Schlink,Bernhard",0,3,0,1,0,0,0,0,0,0,0,0,6,11,15,10,2,0,19,16,1,1,0,5,18,0,0,0,0,0,1,9,0,6,0,4,0,3,3,1,11,11,0,0,6,0,1,3,2,0,7,0,0,0,0,1,0,0,0,5,0,2,10,15,0,8,15,0,2,8,16,12,0,5,1,0,10,3,0,0,6,0,0,0,0,0,43
"53","Schnitzler,Arthur",0,1,0,0,0,1,0,0,0,0,1,0,8,5,2,2,1,0,8,26,0,4,0,1,24,0,0,2,0,0,0,5,0,1,0,0,0,3,0,0,24,1,0,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,8,0,0,2,0,0,3,23,4,0,2,0,0,2,0,0,0,0,0,0,0,0,0,54
"54","Schulze,Ingo",0,1,1,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,6,6,0,1,0,2,5,0,0,1,0,0,0,5,0,1,0,2,0,6,2,0,8,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2,0,1,2,4,0,3,2,0,2,3,5,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,51
"55","Steinhoff,Dorian",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"56","Süskind,Patrick",0,2,4,1,0,2,0,1,0,0,1,0,5,9,13,6,3,0,10,8,0,4,0,2,8,1,1,1,0,0,1,3,0,2,1,4,0,6,1,3,8,0,0,0,5,0,3,6,8,0,3,0,0,0,0,0,0,0,0,5,0,2,13,7,0,4,12,1,3,3,17,6,0,6,0,0,7,4,0,0,2,0,0,0,0,0,38
"57","Trakl,Georg",0,1,0,0,0,1,0,1,0,0,0,0,1,2,0,3,1,0,2,8,0,1,0,0,1,0,0,10,0,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0,1,1,5,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,61
"58","Treiber,Jutta",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"59","Treichel,Hans-Ulrich",0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,3,0,3,3,0,0,0,1,6,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,3,2,0,0,2,0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,62
"60","Wallner,Michael",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,4,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,71
"61","Walser,Robert",0,2,1,1,1,1,0,1,0,0,0,0,4,4,0,5,4,0,4,22,0,2,0,2,37,0,4,3,0,0,0,2,0,0,0,0,0,6,1,0,14,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,5,0,1,5,9,1,0,5,0,2,7,24,5,0,2,0,0,4,1,0,0,0,0,0,0,0,0,48
"62","Wolf,Christa",0,1,5,0,1,0,0,0,0,0,1,0,1,2,2,2,4,0,6,17,0,2,0,2,19,0,1,0,0,0,0,6,0,2,0,3,0,1,0,0,19,6,0,0,1,0,0,1,2,0,2,0,0,0,0,0,0,0,0,5,0,0,1,5,0,4,4,0,0,3,16,2,0,5,0,0,5,0,0,0,0,0,0,0,0,0,51
"63","Zeh,Juli",0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,4,4,0,11,11,0,1,0,1,10,0,2,0,0,0,0,1,0,1,0,3,0,1,0,0,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,2,3,0,1,2,5,1,0,6,0,0,4,1,0,0,0,0,0,0,0,0,54
"64","Zweig,Stefan",0,7,4,0,0,3,0,1,0,0,0,2,10,8,3,10,3,0,8,23,0,2,0,1,66,0,0,7,0,0,0,15,0,3,0,1,0,6,0,0,21,0,0,0,1,0,0,2,8,0,0,0,0,0,0,1,0,0,0,4,0,2,3,5,0,5,18,0,1,0,37,6,0,1,0,0,26,0,0,0,2,0,0,0,0,0,49
"65","Acklin,Jürg",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84
"66","Alahmadi,Galal",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"67","Auwad,Fouadel-",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"68","Bachmann,Ingeborg",0,0,1,1,0,1,0,0,0,0,0,0,1,2,1,6,1,0,5,11,0,0,0,0,10,0,0,4,0,0,0,1,0,1,0,1,0,2,0,0,16,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,0,2,1,0,1,4,7,1,0,4,0,0,7,3,0,0,0,0,0,0,0,0,53
"69","Becker,Cornelia",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
"70","Benn,Gottfried",0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,2,5,0,0,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,1,2,0,1,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,65
"71","Born,Nicolas",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,81
