"","from","to","weight"
"290","baq","bre",3
"291","baq","bul",29
"292","baq","cat",30
"293","baq","chi",21
"294","baq","cze",31
"295","baq","dan",32
"296","baq","dut",35
"297","baq","eng",36
"298","baq","epo",7
"299","baq","est",29
"300","baq","fao",2
"301","baq","fin",30
"302","baq","fre",36
"303","baq","fry",1
"304","baq","geo",12
"305","baq","ger",27
"306","baq","gla",1
"307","baq","gle",1
"308","baq","glg",13
"309","baq","gre",28
"310","baq","heb",25
"311","baq","hin",4
"312","baq","hrv",23
"313","baq","hun",32
"314","baq","ice",10
"315","baq","ind",5
"316","baq","ita",36
"317","baq","jpn",21
"318","baq","kor",16
"319","baq","kur",2
"320","baq","lat",2
"321","baq","lav",19
"322","baq","lit",21
"323","baq","mac",14
"324","baq","mal",1
"325","baq","may",3
"326","baq","mon",3
"327","baq","nds",1
"328","baq","nno",1
"329","baq","nor",28
"330","baq","oci",1
"331","baq","per",22
"332","baq","pol",29
"333","baq","por",31
"334","baq","roh",3
"335","baq","rum",28
"336","baq","rus",29
"337","baq","sin",1
"338","baq","slo",22
"339","baq","slv",31
"340","baq","spa",38
"341","baq","srp",33
"342","baq","swe",30
"343","baq","tha",2
"344","baq","tur",29
"345","baq","ukr",22
"346","baq","urd",2
"347","baq","vie",8
"348","baq","wel",2
"349","baq","xxx",1
"350","bas","bel",1
"351","bas","bul",1
"352","bas","cat",1
"353","bas","chi",1
"354","bas","cze",1
"355","bas","dan",1
"356","bas","dut",1
"357","bas","eng",1
"358","bas","est",1
"359","bas","fin",1
"360","bas","fre",1
"361","bas","geo",1
"362","bas","ger",1
"363","bas","glg",1
"364","bas","gre",1
"365","bas","heb",1
"366","bas","hrv",1
"367","bas","hun",1
"368","bas","ice",1
"369","bas","ita",1
"370","bas","jpn",1
"371","bas","kor",1
"372","bas","lav",1
"373","bas","lit",1
"374","bas","mac",1
"375","bas","nor",1
"376","bas","per",1
"377","bas","pol",1
"378","bas","por",1
"379","bas","rum",1
"380","bas","rus",1
"381","bas","slo",1
"382","bas","slv",1
"383","bas","spa",1
"384","bas","srp",1
"385","bas","swe",1
"386","bas","tur",1
"387","bas","ukr",1
"388","bas","urd",1
"389","bas","vie",1
"390","bel","bos",3
"391","bel","bre",2
"392","bel","bul",19
"393","bel","cat",15
"394","bel","chi",14
"395","bel","cze",22
"396","bel","dan",17
"397","bel","dut",23
"398","bel","eng",24
"399","bel","epo",3
"400","bel","est",15
"401","bel","fao",1
"402","bel","fin",16
"403","bel","fre",27
"404","bel","fry",1
"405","bel","geo",6
"406","bel","ger",15
"407","bel","gla",1
"408","bel","glg",6
"409","bel","gre",17
"410","bel","heb",14
"411","bel","hin",2
"412","bel","hrv",16
"413","bel","hun",19
"414","bel","ice",6
"415","bel","ind",5
"416","bel","ita",26
"417","bel","jpn",9
"418","bel","kor",12
"419","bel","kur",1
"420","bel","lat",3
"421","bel","lav",9
"422","bel","lit",13
"423","bel","mac",8
"424","bel","mal",1
"425","bel","may",2
"426","bel","mon",2
"427","bel","nor",16
"428","bel","per",12
"429","bel","pol",20
"430","bel","por",17
"431","bel","roh",1
"432","bel","rum",18
"433","bel","rus",19
"434","bel","sin",1
"435","bel","slo",14
"436","bel","slv",15
"437","bel","spa",27
"438","bel","srp",16
"439","bel","swe",17
"440","bel","tha",1
"441","bel","tur",14
"442","bel","ukr",11
"443","bel","urd",2
"444","bel","vie",9
"445","bel","xxx",1
"446","ben","bul",1
"447","ben","cat",1
"448","ben","chi",1
"449","ben","cze",1
"450","ben","dan",1
"451","ben","dut",1
"452","ben","eng",1
"453","ben","est",1
"454","ben","fin",1
"455","ben","fre",1
"456","ben","ger",1
"457","ben","glg",1
"458","ben","gre",1
"459","ben","heb",1
"460","ben","hin",1
"461","ben","hrv",1
"462","ben","hun",1
"463","ben","ice",1
"464","ben","ita",1
"465","ben","jpn",1
"466","ben","kor",1
"467","ben","kur",1
"468","ben","may",1
"469","ben","nor",1
"470","ben","per",1
"471","ben","pol",1
"472","ben","por",1
"473","ben","rus",1
"474","ben","slv",1
"475","ben","spa",1
"476","ben","srp",1
"477","ben","swe",1
"478","ben","tur",1
"479","ben","ukr",1
"480","ben","wel",1
"481","bnt","bul",1
"482","bnt","chi",1
"483","bnt","dan",1
"484","bnt","dut",1
"485","bnt","eng",1
"486","bnt","epo",1
"487","bnt","est",1
"488","bnt","fin",1
"489","bnt","fre",1
"490","bnt","ger",1
"491","bnt","heb",1
"492","bnt","hun",1
"493","bnt","ita",1
"494","bnt","lav",1
"495","bnt","per",1
"496","bnt","pol",1
"497","bnt","spa",1
"498","bos","bre",1
"499","bos","bul",15
"500","bos","cat",11
"501","bos","chi",10
"502","bos","cze",16
"503","bos","dan",12
"504","bos","dut",14
"505","bos","eng",17
"506","bos","epo",1
"507","bos","est",11
"508","bos","fao",2
"509","bos","fin",11
"510","bos","fre",16
"511","bos","fry",1
"512","bos","geo",6
"513","bos","ger",6
"514","bos","glg",4
"515","bos","gre",12
"516","bos","heb",10
"517","bos","hin",1
"518","bos","hrv",12
"519","bos","hun",13
"520","bos","ice",5
"521","bos","ind",3
"522","bos","ita",16
"523","bos","jpn",8
"524","bos","kor",6
"525","bos","lat",1
"526","bos","lav",11
"527","bos","lit",11
"528","bos","mac",9
"529","bos","mon",2
"530","bos","nor",13
"531","bos","per",5
"532","bos","pol",12
"533","bos","por",11
"534","bos","rum",11
"535","bos","rus",13
"536","bos","sin",1
"537","bos","slo",5
"538","bos","slv",14
"539","bos","spa",16
"540","bos","srp",14
"541","bos","swe",12
"542","bos","tha",1
"543","bos","tur",12
"544","bos","ukr",5
"545","bos","urd",1
"546","bos","vie",4
"547","bre","bul",4
"548","bre","cat",4
"549","bre","chi",3
"550","bre","cze",3
"551","bre","dan",4
"552","bre","dut",4
"553","bre","eng",4
"554","bre","epo",1
"555","bre","est",4
"556","bre","fao",1
"557","bre","fin",3
"558","bre","fre",4
"559","bre","geo",1
"560","bre","ger",4
"561","bre","glg",1
"562","bre","gre",3
"563","bre","heb",3
"564","bre","hrv",3
"565","bre","hun",4
"566","bre","ice",2
"567","bre","ind",1
"568","bre","ita",4
"569","bre","jpn",2
"570","bre","kor",2
"571","bre","lav",3
"572","bre","lit",3
"573","bre","mac",2
"574","bre","mon",2
"575","bre","nor",4
"576","bre","per",3
"577","bre","pol",4
"578","bre","por",4
"579","bre","rum",4
"580","bre","rus",3
"581","bre","slo",3
"582","bre","slv",3
"583","bre","spa",4
"584","bre","srp",3
"585","bre","swe",4
"586","bre","tur",3
"587","bre","ukr",1
"588","bre","urd",1
"589","bre","vie",2
"590","bul","cat",74
"591","bul","chi",83
"592","bul","epo",13
"593","bul","est",95
"594","bul","fao",3
"595","bul","fin",83
"596","bul","fry",2
"597","bul","geo",31
"598","bul","ger",74
"599","bul","gla",1
"600","bul","gle",1
"601","bul","glg",21
"602","bul","gre",95
"603","bul","gsw",1
"604","bul","heb",71
"605","bul","hin",7
"606","bul","ice",20
"607","bul","ind",10
"608","bul","jpn",74
"609","bul","kir",1
"610","bul","kor",46
"611","bul","kur",2
"612","bul","lat",4
"613","bul","lav",78
"614","bul","lit",94
"615","bul","mac",41
"616","bul","mal",1
"617","bul","may",3
"618","bul","mlt",1
"619","bul","mon",5
"620","bul","nds",1
"621","bul","nno",1
"622","bul","oci",1
"623","bul","per",35
"624","bul","roh",4
"625","bul","rum",88
"626","bul","sin",1
"627","bul","slo",76
"628","bul","tha",4
"629","bul","ukr",41
"630","bul","urd",3
"631","bul","vie",22
"632","bul","wel",2
"633","bul","xxx",2
"634","cat","chi",54
"635","cat","cze",89
"636","cat","dan",80
"637","cat","dsb",1
"638","cat","epo",11
"639","cat","est",58
"640","cat","fao",3
"641","cat","fin",66
"642","cat","fry",3
"643","cat","geo",25
"644","cat","ger",43
"645","cat","gla",1
"646","cat","gle",1
"647","cat","glg",22
"648","cat","gre",78
"649","cat","heb",52
"650","cat","hin",7
"651","cat","hrv",59
"652","cat","hun",86
"653","cat","ice",19
"654","cat","ind",9
"655","cat","jpn",52
"656","cat","kor",32
"657","cat","kur",2
"658","cat","lat",4
"659","cat","lav",43
"660","cat","lit",59
"661","cat","ltz",1
"662","cat","mac",32
"663","cat","mal",1
"664","cat","may",3
"665","cat","mon",5
"666","cat","nds",3
"667","cat","nno",1
"668","cat","nor",80
"669","cat","oci",2
"670","cat","per",30
"671","cat","pol",90
"672","cat","por",81
"673","cat","roh",3
"674","cat","rum",58
"675","cat","rus",77
"676","cat","sin",1
"677","cat","slo",51
"678","cat","slv",69
"679","cat","srp",76
"680","cat","swe",82
"681","cat","tha",4
"682","cat","tur",82
"683","cat","ukr",34
"684","cat","urd",3
"685","cat","vie",14
"686","cat","wel",2
"687","cat","wln",1
"688","cat","xxx",3
"689","cat","yid",1
"690","chi","dan",79
"691","chi","dsb",1
"692","chi","epo",8
"693","chi","est",66
"694","chi","fao",3
"695","chi","fin",67
"696","chi","fry",3
"697","chi","geo",19
"698","chi","ger",42
"699","chi","gle",1
"700","chi","glg",17
"701","chi","gre",74
"702","chi","heb",55
"703","chi","hin",5
"704","chi","hrv",64
"705","chi","hun",95
"706","chi","ice",19
"707","chi","ind",9
"708","chi","jpn",57
"709","chi","kaz",1
"710","chi","kor",49
"711","chi","kur",2
"712","chi","lat",5
"713","chi","lav",64
"714","chi","lit",73
"715","chi","ltz",1
"716","chi","mac",32
"717","chi","mal",1
"718","chi","may",3
"719","chi","mlt",1
"720","chi","mon",5
"721","chi","nds",3
"722","chi","nor",72
"723","chi","oci",1
"724","chi","per",30
"725","chi","por",86
"726","chi","roh",2
"727","chi","rum",63
"728","chi","rus",99
"729","chi","sin",1
"730","chi","slo",57
"731","chi","slv",73
"732","chi","srp",75
"733","chi","swe",78
"734","chi","tha",4
"735","chi","tur",93
"736","chi","ukr",28
"737","chi","urd",3
"738","chi","vie",22
"739","chi","wel",2
"740","chi","wln",1
"741","chi","xxx",3
"742","chi","yid",1
"743","cze","epo",13
"744","cze","fao",3
"745","cze","fry",3
"746","cze","geo",33
"747","cze","ger",85
"748","cze","gla",1
"749","cze","gle",2
"750","cze","glg",25
"751","cze","heb",83
"752","cze","hin",7
"753","cze","ice",23
"754","cze","ind",10
"755","cze","kaz",1
"756","cze","kir",1
"757","cze","kor",70
"758","cze","kur",3
"759","cze","lat",4
"760","cze","mac",46
"761","cze","mal",1
"762","cze","may",3
"763","cze","mlt",1
"764","cze","mon",5
"765","cze","nno",1
"766","cze","oci",1
"767","cze","per",38
"768","cze","roh",4
"769","cze","sin",1
"770","cze","swa",1
"771","cze","tha",4
"772","cze","ukr",50
"773","cze","urd",3
"774","cze","vie",26
"775","cze","wel",2
"776","cze","xxx",2
"777","dan","epo",11
"778","dan","est",89
"779","dan","fao",3
"780","dan","fry",2
"781","dan","geo",32
"782","dan","ger",48
"783","dan","gle",1
"784","dan","glg",22
"785","dan","heb",76
"786","dan","hin",7
"787","dan","hrv",98
"788","dan","ice",22
"789","dan","ind",10
"790","dan","jpn",75
"791","dan","kor",46
"792","dan","kur",2
"793","dan","lat",5
"794","dan","lav",68
"795","dan","lit",82
"796","dan","mac",42
"797","dan","mal",1
"798","dan","may",3
"799","dan","mlt",1
"800","dan","mon",7
"801","dan","mul",1
"802","dan","nds",2
"803","dan","nno",1
"804","dan","oci",1
"805","dan","per",32
"806","dan","roh",3
"807","dan","rum",74
"808","dan","sin",1
"809","dan","slo",68
"810","dan","slv",97
"811","dan","srp",96
"812","dan","tha",4
"813","dan","ukr",44
"814","dan","urd",3
"815","dan","vie",22
"816","dan","wel",2
"817","dan","xxx",1
"818","dsb","eng",1
"819","dsb","fre",1
"820","dsb","fry",1
"821","dsb","ger",1
"822","dsb","gre",1
"823","dsb","hun",1
"824","dsb","lat",1
"825","dsb","ltz",1
"826","dsb","nds",1
"827","dsb","oci",1
"828","dsb","pol",1
"829","dsb","rum",1
"830","dsb","rus",1
"831","dsb","slo",1
"832","dsb","spa",1
"833","dsb","srp",1
"834","dsb","tur",1
"835","dsb","wln",1
"836","dsb","xxx",1
"837","dsb","yid",1
"838","dut","epo",16
"839","dut","fao",3
"840","dut","fry",4
"841","dut","geo",33
"842","dut","ger",76
"843","dut","gla",1
"844","dut","gle",1
"845","dut","glg",26
"846","dut","gsw",3
"847","dut","hin",7
"848","dut","ice",24
"849","dut","ind",10
"850","dut","kaz",1
"851","dut","kir",1
"852","dut","kor",70
"853","dut","kur",2
"854","dut","lat",4
"855","dut","ltz",1
"856","dut","mac",50
"857","dut","mal",1
"858","dut","may",3
"859","dut","mlt",1
"860","dut","mon",7
"861","dut","nds",6
"862","dut","nno",1
"863","dut","oci",1
"864","dut","per",40
"865","dut","roh",4
"866","dut","sin",1
"867","dut","swa",1
"868","dut","tha",4
"869","dut","ukr",48
"870","dut","urd",3
"871","dut","vie",26
"872","dut","wel",2
"873","dut","xxx",2
"874","eng","epo",15
"875","eng","fao",3
"876","eng","fry",4
"877","eng","geo",40
"878","eng","gla",1
"879","eng","gle",2
"880","eng","glg",25
"881","eng","hin",7
"882","eng","ice",24
"883","eng","ind",10
"884","eng","kir",1
"885","eng","kor",66
"886","eng","kur",3
"887","eng","lat",6
"888","eng","lav",93
"889","eng","ltz",2
"890","eng","mac",49
"891","eng","mal",1
"892","eng","may",3
"893","eng","mlt",1
"894","eng","mon",7
"895","eng","mul",1
"896","eng","nds",4
"897","eng","nno",1
"898","eng","oci",2
"899","eng","per",43
"900","eng","roh",4
"901","eng","sin",1
"902","eng","swa",1
"903","eng","tha",4
"904","eng","ukr",51
"905","eng","urd",3
"906","eng","vie",22
"907","eng","wel",2
"908","eng","wln",1
"909","eng","xxx",4
"910","eng","yid",1
"911","epo","est",11
"912","epo","fao",1
"913","epo","fin",10
"914","epo","fre",16
"915","epo","fry",1
"916","epo","geo",4
"917","epo","ger",13
"918","epo","glg",6
"919","epo","gre",11
"920","epo","heb",10
"921","epo","hin",2
"922","epo","hrv",10
"923","epo","hun",11
"924","epo","ice",3
"925","epo","ind",3
"926","epo","ita",13
"927","epo","jpn",11
"928","epo","kor",6
"929","epo","kur",1
"930","epo","lat",2
"931","epo","lav",9
"932","epo","lit",9
"933","epo","mac",5
"934","epo","mal",1
"935","epo","may",2
"936","epo","mon",3
"937","epo","nds",1
"938","epo","nor",13
"939","epo","per",7
"940","epo","pol",12
"941","epo","por",12
"942","epo","rum",10
"943","epo","rus",12
"944","epo","slo",8
"945","epo","slv",8
"946","epo","spa",16
"947","epo","srp",11
"948","epo","swe",11
"949","epo","tha",2
"950","epo","tur",9
"951","epo","ukr",7
"952","epo","urd",2
"953","epo","vie",7
"954","epo","xxx",1
"955","est","fao",3
"956","est","fin",76
"957","est","fry",2
"958","est","geo",30
"959","est","ger",46
"960","est","gla",1
"961","est","gle",1
"962","est","glg",20
"963","est","gre",81
"964","est","heb",58
"965","est","hin",6
"966","est","hrv",77
"967","est","ice",18
"968","est","ind",10
"969","est","jpn",60
"970","est","kor",41
"971","est","kur",2
"972","est","lat",4
"973","est","lav",73
"974","est","lit",88
"975","est","ltz",1
"976","est","mac",35
"977","est","mal",1
"978","est","may",3
"979","est","mon",6
"980","est","nds",2
"981","est","nno",1
"982","est","nor",86
"983","est","oci",1
"984","est","per",31
"985","est","por",90
"986","est","roh",5
"987","est","rum",70
"988","est","sin",1
"989","est","slo",63
"990","est","slv",75
"991","est","srp",80
"992","est","swe",92
"993","est","tha",4
"994","est","tur",85
"995","est","ukr",41
"996","est","urd",3
"997","est","vie",16
"998","est","wel",2
"999","est","xxx",3
"1000","fao","fin",3
"1001","fao","fre",3
"1002","fao","ger",2
"1003","fao","glg",2
"1004","fao","gre",3
"1005","fao","heb",3
"1006","fao","hrv",3
"1007","fao","hun",3
"1008","fao","ice",2
"1009","fao","ind",3
"1010","fao","ita",3
"1011","fao","jpn",3
"1012","fao","kor",3
"1013","fao","lav",3
"1014","fao","lit",3
"1015","fao","mac",3
"1016","fao","mon",2
"1017","fao","nor",3
"1018","fao","per",2
"1019","fao","pol",3
"1020","fao","por",3
"1021","fao","roh",1
"1022","fao","rum",3
"1023","fao","rus",3
"1024","fao","slo",3
"1025","fao","slv",3
"1026","fao","spa",3
"1027","fao","srp",2
"1028","fao","swe",3
"1029","fao","tur",3
"1030","fao","ukr",3
"1031","fao","urd",1
"1032","fao","vie",2
"1033","fao","wel",1
"1034","fin","fry",2
"1035","fin","geo",24
"1036","fin","ger",49
"1037","fin","gle",1
"1038","fin","glg",22
"1039","fin","gre",82
"1040","fin","heb",60
"1041","fin","hin",6
"1042","fin","hrv",69
"1043","fin","ice",22
"1044","fin","ind",8
"1045","fin","jpn",52
"1046","fin","kor",39
"1047","fin","kur",2
"1048","fin","lat",5
"1049","fin","lav",62
"1050","fin","lit",66
"1051","fin","mac",28
"1052","fin","mal",1
"1053","fin","may",3
"1054","fin","mlt",1
"1055","fin","mon",6
"1056","fin","mul",1
"1057","fin","nds",1
"1058","fin","nor",96
"1059","fin","oci",1
"1060","fin","per",30
"1061","fin","por",94
"1062","fin","roh",4
"1063","fin","rum",67
"1064","fin","rus",90
"1065","fin","sin",1
"1066","fin","slo",61
"1067","fin","slv",79
"1068","fin","srp",80
"1069","fin","tha",4
"1070","fin","tur",86
"1071","fin","ukr",36
"1072","fin","urd",3
"1073","fin","vie",21
"1074","fin","wel",2
"1075","fin","xxx",1
"1076","fre","fry",4
"1077","fre","geo",36
"1078","fre","gla",1
"1079","fre","gle",2
"1080","fre","glg",25
"1081","fre","hin",7
"1082","fre","ice",25
"1083","fre","ind",10
"1084","fre","kaz",1
"1085","fre","kor",72
"1086","fre","kur",3
"1087","fre","lat",5
"1088","fre","ltz",2
"1089","fre","mac",55
"1090","fre","mal",1
"1091","fre","may",3
"1092","fre","mlt",1
"1093","fre","mon",7
"1094","fre","nds",4
"1095","fre","nno",1
"1096","fre","oci",2
"1097","fre","per",44
"1098","fre","roh",5
"1099","fre","sin",1
"1100","fre","swa",1
"1101","fre","tha",4
"1102","fre","ukr",51
"1103","fre","urd",3
"1104","fre","vie",27
"1105","fre","wel",2
"1106","fre","wln",1
"1107","fre","xxx",3
"1108","fre","yid",1
"1109","fry","geo",1
"1110","fry","ger",4
"1111","fry","glg",1
"1112","fry","gre",3
"1113","fry","heb",2
"1114","fry","hin",1
"1115","fry","hrv",1
"1116","fry","hun",3
"1117","fry","ice",1
"1118","fry","ind",1
"1119","fry","ita",3
"1120","fry","kor",1
"1121","fry","lat",2
"1122","fry","lav",2
"1123","fry","lit",2
"1124","fry","ltz",1
"1125","fry","mac",1
"1126","fry","mon",1
"1127","fry","nds",2
"1128","fry","nor",3
"1129","fry","oci",1
"1130","fry","per",2
"1131","fry","pol",3
"1132","fry","por",2
"1133","fry","rum",3
"1134","fry","rus",2
"1135","fry","sin",1
"1136","fry","slo",3
"1137","fry","slv",1
"1138","fry","spa",4
"1139","fry","srp",3
"1140","fry","swe",3
"1141","fry","tur",4
"1142","fry","ukr",2
"1143","fry","vie",1
"1144","fry","wln",1
"1145","fry","xxx",1
"1146","fry","yid",1
"1147","geo","ger",16
"1148","geo","gle",1
"1149","geo","glg",12
"1150","geo","gre",28
"1151","geo","heb",19
"1152","geo","hin",5
"1153","geo","hrv",27
"1154","geo","hun",31
"1155","geo","ice",8
"1156","geo","ind",4
"1157","geo","ita",34
"1158","geo","jpn",20
"1159","geo","kor",14
"1160","geo","kur",1
"1161","geo","lat",2
"1162","geo","lav",20
"1163","geo","lit",26
"1164","geo","mac",17
"1165","geo","mal",1
"1166","geo","may",2
"1167","geo","nno",1
"1168","geo","nor",32
"1169","geo","oci",1
"1170","geo","per",13
"1171","geo","pol",32
"1172","geo","por",30
"1173","geo","roh",2
"1174","geo","rum",24
"1175","geo","rus",28
"1176","geo","sin",1
"1177","geo","slo",20
"1178","geo","slv",31
"1179","geo","spa",37
"1180","geo","srp",30
"1181","geo","swe",28
"1182","geo","tha",3
"1183","geo","tur",31
"1184","geo","ukr",18
"1185","geo","urd",2
"1186","geo","vie",7
"1187","geo","xxx",1
"1188","ger","gla",1
"1189","ger","gle",2
"1190","ger","glg",17
"1191","ger","gre",53
"1192","ger","heb",47
"1193","ger","hin",7
"1194","ger","hrv",43
"1195","ger","hun",67
"1196","ger","ice",13
"1197","ger","ind",7
"1198","ger","ita",96
"1199","ger","jpn",42
"1200","ger","kor",28
"1201","ger","kur",3
"1202","ger","lat",4
"1203","ger","lav",31
"1204","ger","lit",43
"1205","ger","ltz",1
"1206","ger","mac",24
"1207","ger","mal",1
"1208","ger","may",3
"1209","ger","mon",4
"1210","ger","mul",1
"1211","ger","nds",5
"1212","ger","nno",1
"1213","ger","nor",58
"1214","ger","oci",1
"1215","ger","per",29
"1216","ger","pol",85
"1217","ger","por",51
"1218","ger","roh",3
"1219","ger","rum",51
"1220","ger","rus",70
"1221","ger","sin",1
"1222","ger","slo",43
"1223","ger","slv",56
"1224","ger","srp",57
"1225","ger","swe",60
"1226","ger","tha",2
"1227","ger","tur",48
"1228","ger","ukr",29
"1229","ger","urd",3
"1230","ger","vie",15
"1231","ger","wel",2
"1232","ger","wln",1
"1233","ger","xxx",4
"1234","ger","yid",1
"1235","gla","gre",1
"1236","gla","hrv",1
"1237","gla","hun",1
"1238","gla","ita",1
"1239","gla","kor",1
"1240","gla","lit",1
"1241","gla","per",1
"1242","gla","pol",1
"1243","gla","por",1
"1244","gla","rum",1
"1245","gla","rus",1
"1246","gla","slv",1
