"","pol","tur","hrv","nor","gre","rus","spa","authorcount"
"Ruiss,Gerhard",0,0,0,0,0,0,0,0
"Samlan,Manuela",0,0,0,0,0,0,0,0
"Sandig,UlrikeAlmut",0,0,0,0,0,0,0,0
"Sarafov,Nicolai",0,0,0,0,0,0,0,0
"Sauer,Beate",0,0,0,0,0,0,0,0
"Schädlich,HansJoachim",0,0,0,0,0,0,1,1
"Schalansky,Judith",0,1,0,1,0,1,1,4
"Schalko,David",0,0,0,0,0,0,0,0
"Schertenleib,Hansjörg",0,0,0,0,0,0,1,1
"Schirokauer,Alfred",0,0,0,0,0,0,0,0
"Schmidt,Rosa",0,0,0,0,0,0,0,0
"Schmitter,Elke",0,0,1,0,1,0,1,3
"Schneider,Robert",0,1,0,2,0,2,1,6
"Schomburg,Uwe",0,1,0,0,0,1,0,2
"Schuberth,Richard",0,0,1,0,0,0,0,1
"Schwab,Werner",0,0,0,0,0,0,1,1
"Schwanitz,Dietrich",0,0,0,0,0,0,0,0
"Sendker,Jan-Philipp",0,1,1,2,0,0,4,8
"Setz,ClemensJ.",0,0,1,0,0,0,0,1
"Simmel,Georg",0,1,0,0,0,0,0,1
"Stangl,Thomas",0,0,0,0,0,0,0,0
"Steffen,Albert",0,0,0,0,0,0,0,0
"Stehl,Lutz",0,0,0,0,0,0,0,0
"Stein,Susanne",0,0,0,0,0,0,0,0
"Steiner,Wilfried",0,0,0,0,0,1,0,1
"Storm,Theodor",0,0,0,0,0,1,2,3
"Strubel,AntjeRávic",0,0,0,0,0,0,0,0
"Sudermann,Hermann",0,0,0,0,0,2,1,3
"Thenior,Ralf",0,0,0,0,0,0,0,0
"Thiemeyer,Thomas",0,0,0,0,0,3,2,5
"Traven,B.",0,0,1,0,0,0,5,6
"Tüne,Anna",0,0,0,0,0,0,0,0
"Unger,GertF.",0,0,0,0,0,0,0,0
"Urban,Simon",0,0,0,1,0,0,2,3
"Vögel,Stefan",0,0,0,0,0,0,0,0
"Wallner,Bernard",0,0,0,0,0,0,0,0
"Walz,Eric",0,0,0,0,0,1,3,4
"Wedekind,Frank",0,0,1,0,1,0,3,5
"Weidermann,Volker",0,1,0,1,1,0,1,4
"Weiss,Peter",0,2,0,0,0,0,6,8
"Weng,Joan",0,0,0,0,0,0,0,0
"Wichner,Ernest",0,0,0,0,0,0,0,0
"Widder,Bernhard",0,0,0,0,0,0,0,0
"Wilken,U.H.",0,0,0,0,0,0,0,0
"Winter,Karen",0,0,0,0,0,0,1,1
"Wiplinger,PeterPaul",0,0,0,0,0,0,1,1
"Wunderer,R.",0,0,0,0,0,0,0,0
"Wurmitzer,Mario",0,0,0,0,0,0,0,0
"Yildiz,Jasmin",0,1,0,1,0,1,0,3
"Ziegler,Claudia",0,0,0,0,0,0,0,0
"Zownir,Miron",0,0,0,0,0,0,0,0
"Abell,ArthurM.",0,0,0,0,0,0,0,0
"Adorján,Johanna",0,0,0,1,0,0,0,1
"Baer,Frank",0,0,0,0,0,0,7,7
"Bauer,JosefMartin",0,0,0,0,0,0,1,1
"Boëtius,Henning",0,0,0,0,0,0,3,3
"Boos,Verena",0,0,0,0,0,0,1,1
"Borchert,Wolfgang",0,4,0,1,0,0,1,6
"Brun,Georg",0,0,0,0,0,0,1,1
"Bubenzer,Anne",0,0,0,0,0,0,1,1
"Cantieni,Monica",0,0,0,0,0,0,1,1
"Egli,WernerJ.",0,0,0,0,0,0,0,0
"Fauser,Jörg",0,1,0,0,0,0,1,2
"Haffner,Ernst",0,1,1,0,0,0,2,4
"Haring,Roswitha",0,0,0,0,0,0,1,1
"Hess,Annette",0,0,1,0,1,0,2,4
"Huch,Ricarda",0,0,0,0,0,0,2,2
"Kandinsky,Wassily",0,0,0,1,0,0,0,1
"Klabund",0,0,0,0,1,0,1,2
"Koeppen,Wolfgang",0,0,0,3,1,2,4,10
"Kooij,Rachelvan",0,0,0,0,0,0,1,1
"Kremser,Stefanie",0,0,0,0,0,0,1,1
"Lambeck,Silke",0,1,0,0,0,0,0,1
"Lange,Hartmut",0,0,0,0,0,1,2,3
"Loth,Sebastian",0,0,0,0,0,0,1,1
"Meyerhoff,Joachim",0,0,0,0,0,0,1,1
"Moníková,Libuše",0,0,0,0,0,0,3,3
"Olsberg,Karl",0,1,0,0,0,0,0,1
"Pabst,Lothar",0,0,0,0,0,0,0,0
"Pestum,Jo",0,0,0,0,0,0,1,1
"Polgar,Alfred",0,0,0,0,0,0,2,2
"Rammstedt,Tilman",0,1,0,0,0,0,2,3
"Reider,Katja",0,1,0,0,0,0,2,3
"Schneider,Peter",0,1,0,0,1,0,4,6
"Schrobsdorff,Angelika",0,0,0,0,0,0,1,1
"Seghers,Anna",0,3,0,0,5,0,8,16
"Thüminger,Rosmarie",0,0,0,0,0,0,0,0
"Tucholsky,Kurt",0,0,0,1,0,0,5,6
"Willi,Jean",0,0,0,0,0,0,0,0
"Zimnik,Reiner",0,0,0,0,0,0,2,2
"Anderhandt,Jakob",0,0,0,0,0,0,0,0
"Apitz,Bruno",0,0,0,0,0,0,0,0
"Barkow,Nick",0,0,0,0,0,0,0,0
"Berger,Clemens",0,0,0,0,0,0,0,0
"Berkéwicz,Ulla",0,0,0,0,0,2,0,2
"Buchholz,Quint",0,0,0,0,1,0,3,4
"Danella,Utta",0,0,0,0,0,0,0,0
"DeCesco,Federica",0,0,0,0,0,0,0,0
"Droste-Hülshoff,Annettevon",0,0,0,0,0,0,1,1
"Düffel,Johnvon",0,0,0,0,0,0,1,1
"Federspiel,Jürg",0,0,0,0,0,0,1,1
"Frei,Pierre",0,0,0,0,0,0,4,4
"George,Stefan",0,0,0,0,0,1,2,3
"Gesthuysen,Anne",0,0,0,0,0,0,1,1
"Giono,Jean",0,0,0,0,0,0,0,0
"Gröschner,Annett",0,0,0,0,0,0,0,0
"Hallo,Ruth",0,0,0,0,0,0,0,0
"Hein,Jakob",0,0,0,0,0,0,0,0
"Heine,Helme",0,0,0,0,0,0,1,1
"Heldt,Dora",0,0,0,4,0,1,3,8
"Heyse,Paul",0,0,0,0,0,1,0,1
"Holzach,Alexander",0,0,0,0,0,0,2,2
"Hoyer,Heike",0,0,0,0,0,0,0,0
"Keller,Claudia",0,0,0,0,0,0,0,0
"Kliesch,Vincent",0,1,0,0,1,0,0,2
"Kluge,Alexander",0,1,0,0,0,1,2,4
"Kobr,Michael",0,0,0,0,0,0,0,0
"Köhler,Joachim",0,1,0,0,0,0,1,2
"Könnecke,Ole",0,0,0,0,0,0,5,5
"Krügel,Mareike",0,0,0,1,0,0,2,3
"Lenz,Anita",0,0,0,0,0,0,0,0
"Lindt,George",0,0,0,0,0,0,0,0
"Lorenz,Wiebke",0,0,0,0,0,0,0,0
"Maar,Paul",0,0,0,0,0,0,0,0
"Marti,Lorenz",0,0,0,0,0,0,0,0
"Menasse,Eva",0,0,3,0,0,0,2,5
"Meyer-Dietrich,Inge",0,0,0,0,0,0,0,0
"Mosebach,Martin",0,0,0,0,0,0,3,3
"Mühle,Jörg",0,0,0,0,0,0,0,0
"Neuwald,Alfred",0,0,0,0,0,0,0,0
"Ortheil,Hanns-Josef",0,1,0,0,3,3,1,8
"Plenzdorf,Ulrich",0,1,0,0,0,0,1,2
"Pu,Songling",0,0,0,0,0,0,0,0
"Qu,Yuan",0,0,0,0,0,0,0,0
"Röckener,Andreas",0,0,0,0,0,0,0,0
"Scheer,KarlH.",0,0,0,0,0,0,0,0
"Schober,Michael",0,0,0,0,0,0,0,0
"Schubiger,Jürg",0,0,0,0,0,0,0,0
"Schumacher,Jens",0,2,0,0,0,0,0,2
"Sima,Qian",0,0,0,0,0,0,0,0
"Simrock,Karl",0,0,0,0,0,0,0,0
"Thome,Stephan",0,0,0,0,0,0,0,0
"Wagner,David",0,0,0,0,0,0,1,1
"Wu,Jingzi",0,0,0,0,0,0,0,0
"Abedi,Isabel",0,0,0,0,0,0,0,0
"Achternbusch,Herbert",0,1,0,0,0,0,0,1
"Addams,Peter",0,0,0,0,0,0,0,0
"Adler,H.G.",0,0,0,0,0,0,1,1
"Alexandra",0,0,0,0,0,0,0,0
"Allmend,Peter",0,0,0,0,0,0,0,0
"Altenburg,Matthias",0,0,0,0,0,0,0,0
"Altrichter,Michal",0,0,0,0,0,0,0,0
"Amann,Jürg",0,0,0,0,0,0,0,0
"Amenda,Alfred",0,0,0,0,0,1,0,1
"Amery,Carl",0,0,0,0,0,0,0,0
"Amrein,Nicole",0,0,0,0,0,0,0,0
"Anderson,PoppyJ.",0,3,0,0,0,1,0,4
"Arp,Hans",0,0,0,0,0,1,0,1
"Artmann,H.C.",0,0,0,0,0,0,0,0
"Averbeck,Sanne",0,0,0,0,0,0,0,0
"Babendererde,Antje",0,0,0,0,0,0,0,0
"Bach,Tabea",0,0,0,0,0,0,0,0
"Back,Jean",0,0,0,0,0,0,0,0
"Ball,Hugo",0,0,0,0,0,0,2,2
"Ballestrem,AdlerofeldF.",0,0,0,0,0,0,0,0
"Ballien,Tilo",0,0,0,0,0,0,0,0
"Balling,AdalbertLudwig",0,0,0,0,0,0,0,0
"Bankhofer,Hademar",0,0,0,0,0,1,0,1
"Bankl,Hans",0,0,0,0,0,0,0,0
"Barényi,Olga",0,0,0,0,0,0,0,0
"Basner,GerhardFriedrich",0,0,0,0,0,0,0,0
"Bauersima,Igor",0,0,0,0,0,0,0,0
"Baumann,Peter",0,0,0,0,0,0,0,0
"Becker,Zdenka",0,0,0,0,0,0,0,0
"Beckmann,Mani",0,0,0,0,0,0,0,0
"Bednarz,Dieter",0,0,0,0,0,0,0,0
"Beholz,Robert",0,0,0,0,0,0,0,0
"Behrendt,Leni",0,0,0,0,0,0,0,0
"Belitz,Bettina",0,0,0,0,0,0,0,0
"Benning,Sophie",0,0,0,0,0,0,0,0
