"","bul","cze","dan","dut","eng","fre","gre","gsw","hrv","hun","ita","jpn","kir","mlt","nor","pol","por","rus","slv","spa","srp","swa","swe","tur","authorcount","author_lang_count"
"Holst,Evelyn",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,4
"Horváth,Ödönvon",3,4,1,2,6,12,3,0,1,3,2,0,0,0,3,1,1,0,2,6,3,0,1,0,54,18
"Hürlimann,Thomas",2,0,1,4,1,5,1,0,1,0,3,0,0,0,1,1,0,3,0,1,0,0,1,1,26,15
"Ingold,FelixPhilipp",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Inusa,Manuela",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3
"Jaeckle,Erwin",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Jaroschka,Markus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Jaud,Tommy",1,0,3,2,0,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,1,0,0,1,14,11
"Jenny,Zoë",2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,13,9
"Jonigk,Thomas",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4
"Junke,Joe",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kahn,Walter",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kaminer,Wladimir",3,2,1,2,0,3,1,0,3,3,4,0,0,0,1,2,1,2,1,1,1,0,1,0,32,18
"Kandolf,Franz",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kappacher,Walter",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3
"Kasprzak,Andreas",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kasten,Mona",3,2,0,2,0,2,0,0,0,0,12,0,0,0,0,7,0,3,3,6,0,0,0,0,40,10
"Kästner,Erich",6,1,1,1,2,4,0,0,0,11,2,2,0,0,1,0,0,3,1,1,2,0,0,1,39,16
"Kim,Anna",1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,8
"Kirsch,Sarah",1,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0,0,0,8,8
"Kirst,HansHellmut",2,5,0,4,2,0,0,0,0,2,0,0,0,0,0,16,3,1,2,1,0,0,0,0,38,11
"Klopstock,FriedrichGottlieb",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Knittel,John",1,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,5
"Koch,Jessica",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,5
"Kofler,Gerhard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Koltz,Anise",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Koneffke,Jan",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"König,HansH.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kopacka,Werner",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kracht,Christian",2,1,2,2,1,2,0,0,2,1,2,2,0,0,3,1,0,5,0,2,0,0,4,1,33,17
"Kraus,Emil",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kraxner,PetraMaria",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kröhn,Julia",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,7,6
"Krohn,Tim",1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Krupp,Ute-Christine",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Kubelka,Susanna",1,10,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,18,7
"Kubiczek,André",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Kunze,Reiner",1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,7,6
"Kürthy,Ildikóvon",2,3,0,8,0,3,0,0,2,5,5,0,0,0,0,4,1,4,3,2,0,0,3,3,48,15
"Lack,Stephan",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Laßwitz,Kurd",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,5
"Laucke,Dirk",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Lechner,Auguste",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
"Lehr,Thomas",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,5
"Leitgeb,Josef",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Lewin,Waldtraut",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Lindström,Inga",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,4
"Link,Charlotte",1,20,6,11,6,54,2,0,2,4,36,2,0,1,2,36,0,4,1,15,0,0,0,4,207,19
"Löb,Horst",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Lubomirski,Karl",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,5,6
"Lustiger,Gila",1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,5
"Magnusson,Kristof",1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,7,7
"Mall,Sepp",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Marlitt,E.",1,2,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,2,0,0,0,0,0,0,16,6
"Marly,Michelle",1,2,0,1,0,0,0,0,0,1,2,0,0,0,0,1,1,0,1,1,1,0,2,0,14,12
"May,Karl",28,77,0,19,4,0,0,0,2,22,0,2,0,0,0,31,3,7,0,2,5,0,0,1,203,14
"Mayer,Anna-Elisabeth",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3
"Meyer,ConradFerdinand",1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,6
"Mitterer,Felix",2,5,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,14,7
"Moers,Walter",2,3,1,3,12,2,0,0,0,1,9,0,0,0,1,4,0,4,6,3,1,0,0,1,53,16
"Montasser,Thomas",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4
"Mora,Terézia",1,1,1,1,1,2,1,0,1,6,1,0,0,0,1,2,1,0,1,1,1,0,2,1,26,19
"Mörike,Eduard",1,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,1,1,17,10
"Moser,AnnemarieE.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Müller,Heiner",1,1,1,4,4,10,5,0,1,2,1,1,0,0,0,1,7,1,0,3,2,0,2,0,47,18
"Münzer,Hanni",2,1,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7
"Muschg,Adolf",3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,3,2,4,0,0,0,0,16,8
"Nagel,HerbertC.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Neuhaus,Nele",2,4,5,10,18,13,4,0,6,2,9,4,0,0,1,11,2,7,0,11,2,0,7,3,121,20
"Nigg,Iren",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Noll,Ingrid",1,2,5,4,4,7,0,0,2,2,3,2,0,0,0,3,2,16,0,15,0,0,8,4,80,17
"Okopenko,Andreas",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,4,5
"Oleschinski,Brigitte",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Opitz,Martin",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3
"Orths,Markus",2,1,0,3,2,2,0,0,0,0,2,0,0,0,0,0,2,0,0,2,1,0,0,0,17,10
"Paura,Martina",1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,5
"Peetz,Monika",2,4,0,10,0,10,1,0,0,4,3,0,0,0,5,1,2,0,0,4,1,0,1,2,50,15
"Peinkofer,Michael",3,8,0,5,0,1,0,0,0,1,5,0,0,0,0,3,0,3,0,13,1,0,0,1,44,12
"Pesch,HelmutW.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Peschina,Helmut",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3
"Pirinçci,Akif",1,2,0,2,5,3,0,0,0,0,2,0,0,0,4,3,0,2,1,2,0,0,2,5,34,14
"Plattner,Martin",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Poschmann,Marion",2,1,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,11,9
"Pötzsch,Oliver",3,8,0,0,14,3,0,0,0,0,14,0,0,0,0,1,0,5,2,1,1,0,0,1,53,12
"Prange,Peter",4,1,0,5,1,3,1,0,0,3,2,0,0,0,0,2,1,1,0,4,1,0,1,1,31,16
"Raabe,Melanie",1,2,0,3,9,3,1,0,1,1,5,0,0,0,0,2,1,1,0,2,1,0,1,1,35,17
"Rabensteiner,Konrad",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Rabinovici,Doron",2,1,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,9,7
"Raeber,Kuno",1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
"Rathenböck,ElisabethVera",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Rétyi,Andreasvon",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Rezzori,Gregorvon",1,0,1,0,6,6,0,0,0,1,3,0,0,0,0,2,0,0,0,5,0,0,1,0,26,10
"Rheinberger,Hans-Jörg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Ross,Stefanie",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"Rothmann,Ralf",1,1,1,2,7,2,0,0,2,1,4,0,0,0,1,2,1,2,0,3,2,0,2,2,36,18
"Rudoll,Ronald",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"Rühm,Gerhard",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Ruiss,Gerhard",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Sacher-Masoch,Leopoldvon",1,2,1,0,4,4,0,0,2,0,1,1,0,0,1,1,2,11,0,9,0,0,1,0,41,15
"Safier,David",2,1,1,2,2,12,2,0,1,3,7,0,0,0,3,2,6,1,0,23,1,0,2,4,75,19
"Samlan,Manuela",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Sandig,UlrikeAlmut",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Sarafov,Nicolai",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Sauer,Beate",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Schädlich,HansJoachim",1,1,0,2,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,12,9
"Schalansky,Judith",1,1,1,2,2,1,0,0,0,1,2,0,0,0,1,0,1,1,0,1,0,0,1,1,17,15
"Schalko,David",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Schertenleib,Hansjörg",4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,9,6
"Schimmelpfennig,Roland",2,1,0,1,5,6,1,0,0,0,2,1,0,0,0,1,0,0,0,2,1,0,0,2,25,13
"Schindel,Robert",1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,8,8
"Schirokauer,Alfred",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
"Schmidt,Rosa",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"Schmitter,Elke",1,1,0,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,12,10
"Schneider,Robert",2,1,2,4,1,3,0,0,0,1,7,0,0,0,2,0,1,2,1,1,0,0,1,1,30,16
"Schomburg,Uwe",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,4,5
"Schuberth,Richard",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4
"Schwab,Werner",2,2,0,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,13,9
"Schwanitz,Dietrich",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
"Sebald,W.G.",2,3,1,10,14,10,2,0,5,3,7,0,0,0,3,4,4,3,2,12,2,0,4,2,93,20
"Seethaler,Robert",3,2,2,2,2,4,1,0,2,1,4,1,0,0,3,1,1,0,1,1,0,0,2,2,35,19
"Sendker,Jan-Philipp",1,1,1,3,7,6,0,0,1,1,10,1,0,0,2,0,2,0,2,4,5,0,3,1,51,18
"Setz,ClemensJ.",2,0,2,0,1,4,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,14,9
"Simmel,Georg",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3
"Simmel,JohannesMario",4,55,12,5,0,3,0,0,2,4,2,0,0,0,1,3,5,3,2,4,0,0,0,6,111,16
"Stamm,Peter",3,3,1,5,8,7,0,0,1,1,6,0,0,0,5,1,0,1,1,8,1,0,1,2,55,18
