"","author","count"
"372","Cramer, Doris",1
"373","Crauer, Pil",1
"374","Cremer, Drutmar",1
"375","Cristen, Gabriele Marie",1
"376","Cristen, Marie",2
"377","Cristenová, Marie",1
"378","Crow",1
"379","Crown, Jonathan",7
"380","Crüwell, G. A.",1
"381","Csokor, Franz Theodor",1
"382","Cueni, Claude",1
"383","Cullen, July",1
"384","Cyran, Eberhard",1
"385","Czechowski, Heinz",1
"386","Czernin, Franz Josef",1
"387","Czernin, Monika",1
"388","Dahlke, Paul",2
"389","Dahlke, Rüdiger",1
"390","Dalos, György",3
"391","Danius, Sara",1
"392","Darlton, Clark",2
"393","Dath, Dietmar",3
"394","Daum, Fritz",1
"395","Daumann, Rudolf",1
"396","Dean, Martin R.",2
"397","Decker, Kerstin",1
"398","Degens, Marc",1
"399","Dehe, Astrid",1
"400","Dehnerdt, Eleonore",1
"401","Deighton, Len",1
"402","Deitmer, Sabine",3
"403","Del Monego, Markus",1
"404","Demetz, Hanna",1
"405","Demirkan, Renan",4
"406","Demirtel, Eevie",1
"407","Dempf, Peter",10
"408","Demski, Eva",2
"409","Demus, Klaus",1
"410","Denk, Felix",1
"411","Deor, Inga",1
"412","Deprez, Olivier",1
"413","Deprijck, Lucien",1
"414","Der Stricker",2
"415","Derleth, Ludwig",1
"416","Dettwiler, Monika",1
"417","Deus, Van",1
"418","Di Fulvio, Luca",1
"419","DiCarmen, Sonju",1
"420","Dick, Philip K.",1
"421","Dieckmann, Dorothea",5
"422","Dieckmann, Guido",4
"423","Diehl, Sarah",1
"424","Dietmann, Ulrike",1
"425","Dietrich, William",1
"426","Dietz, Friedrich",1
"427","Dillner, Timo",1
"428","Dinev, Dimitré",3
"429","Dirks, Liane",1
"430","Dische, Irene",4
"431","Discher, Christian",1
"432","Ditfurth, Christian von",3
"433","Ditfurth, Jutta",1
"434","Dittrich, Sabine",1
"435","Döbrich, Annette",1
"436","Doehn, Uwe Georg",1
"437","Dohm, Hedwig",1
"438","Doma, Akos",1
"439","Dönhoff, Tatjana",3
"440","Doppagne, Brigitte",1
"441","Dor, Milo",5
"442","Dorfer, Marianne",1
"443","Dorian, Ada",1
"444","Döring, Dieter",1
"445","Dorn, Anne",1
"446","Dorn, Thea",4
"447","Dorn, Wulf",7
"448","Dornbrach, ʿAbdullâh H.",1
"449","Dotzler, Arsenius",1
"450","Doubek, Katja",1
"451","Douglas, James",1
"452","Drach, Albert",3
"453","Dreer, Mirjam",1
"454","Drews, Arne",1
"455","Drews, Christine",6
"456","Dribbusch, Barbara",1
"457","Dröscher, Daniela",1
"458","Drössler, Sabine",1
"459","Droste, Gabriele",1
"460","Dübgen, Hannah",1
"461","Dückers, Tanja",5
"462","Dulleck, Nina",1
"463","Dunham, Tony",1
"464","Dutton, Annette",1
"465","Duvanel, Adelheid",3
"466","Dyrlich, Benedikt",1
"467","Dziewas, Dorothee",1
"468","Eberlein, Maren",1
"469","Ebertowski, Jürgen",3
"470","Ebner, Jeannie",1
"471","Ebner, Peter",1
"472","Eckert, Hella",1
"473","Eckert, Horst",2
