"","author","place_count","title_count","residuals"
"260","Hübotter, Klaus",1,2,-0.275882505463569
"261","Hummel, Eleonora",1,1,-0.0121680186687412
"262","Irmisch, Beate",1,2,-0.275882505463569
"263","Isherwood, Christopher",1,1,-0.0121680186687412
"264","Jablonsky, Hilla",1,1,-0.0121680186687412
"265","Jäger, Katja",1,3,-0.539596992258396
"266","James, Eloisa",1,1,-0.0121680186687412
"267","James, Peter",2,2,0.724117494536431
"268","Jensen, Nils",1,1,-0.0121680186687412
"269","Jisa, Rudolf",1,1,-0.0121680186687412
"270","Jonuleit, Anja",1,1,-0.0121680186687412
"271","Joop, Wolfgang",1,1,-0.0121680186687412
"272","Jung, Peter",1,1,-0.0121680186687412
"273","Jussen, Heinz",1,1,-0.0121680186687412
"274","Kahlert, August",1,1,-0.0121680186687412
"275","Kanduth, Gerard",1,1,-0.0121680186687412
"276","Kapielski, Thomas",1,1,-0.0121680186687412
"277","Kapitelman, Dmitrij",1,1,-0.0121680186687412
"278","Katz, Leo",1,1,-0.0121680186687412
"279","Kehle, Matthias",2,2,0.724117494536431
"280","Keil, Christina E.",1,1,-0.0121680186687412
"281","Keller, Volker",1,1,-0.0121680186687412
"282","Kerr, Charlotte",1,1,-0.0121680186687412
"283","Kessler, Klaus",1,1,-0.0121680186687412
"284","Keßner, Andreas",1,1,-0.0121680186687412
"285","Keyser, Charlotte",1,1,-0.0121680186687412
"286","Kiefer, Reinhard",1,1,-0.0121680186687412
"287","Kien, Peter",1,1,-0.0121680186687412
"288","Kinzelmann, Dietlind",1,1,-0.0121680186687412
"289","Kipphardt, Heinar",1,2,-0.275882505463569
"290","Kirchner, Katrin",1,3,-0.539596992258396
"291","Klaushofer, Roswitha",1,1,-0.0121680186687412
"292","Klein, Eduard",1,1,-0.0121680186687412
"293","Kluge, Karlheinz",1,1,-0.0121680186687412
"294","Kneissler, Michael",1,1,-0.0121680186687412
"295","Knopp, Thomas",1,1,-0.0121680186687412
"296","Kobr, Michael",1,1,-0.0121680186687412
"297","Kohl, Paul",1,1,-0.0121680186687412
"298","Kolb, Rüdiger",1,1,-0.0121680186687412
"299","Kolb, Ulrike",1,1,-0.0121680186687412
"300","König, Wilhelm",1,1,-0.0121680186687412
"301","Koppelkamm, Stefan",1,1,-0.0121680186687412
"302","Koß, Bert",1,2,-0.275882505463569
"303","Köttner-Benigni, Klara",2,4,0.196688520946777
"304","Kramer, Theodor",1,1,-0.0121680186687412
"305","Kraus, Ivan",1,2,-0.275882505463569
"306","Kraus, Rudolf",1,1,-0.0121680186687412
"307","Krebs, Gérard",1,1,-0.0121680186687412
"308","Kremnitz, Mite",1,2,-0.275882505463569
"309","Krenek, Ernst",1,1,-0.0121680186687412
"310","Kresswitz, Nina",1,1,-0.0121680186687412
"311","Kretz, Ingrid",1,2,-0.275882505463569
"312","Kröber, Hans-Ludwig",1,1,-0.0121680186687412
"313","Kropp, Jürgen",1,1,-0.0121680186687412
"314","Kruse, Sigrid",1,1,-0.0121680186687412
"315","Kuessner, Lutz",1,1,-0.0121680186687412
