"","Var1","Freq"
"236","Das Zöglingsheft des Jean Genet",1
"237","Davon schwimmen ltZusammenstellung",1
"238","Dead simple",1
"239","Demian",1
"240","Denn mir entkommst du nicht",1
"241","Der Ackermann aus Böhmen",1
"242","Der Adler von Kurdistan",1
"243","Der Alchimist von den Rocky Mountains",1
"244","Der Alte aus Atlantis",1
"245","Der alte Mann spricht mit seiner Seele",1
"246","Der Amokläufer",1
"247","Der Anfang von allemnd",1
"248","Der Angstfresser",1
"249","Der aufhaltsame Aufstieg des Arturo Ui",1
"250","Der Aufstand der Drachen",1
"251","Der Aufstand der Fischer von St Barbara",1
"252","Der Bäckerjunge von Znaim",1
"253","Der Bajazzo",1
"254","Der barmherzige Hügel",1
"255","Der Bau",1
"256","Der Beobachter",1
"257","Der bewaffnete Freund",1
"258","Der Chinese",1
"259","Der Chinesen",1
"260","Der Commander",1
"261","Der den Kopf riskiert",1
"262","Der Drache von Sagres und andere Geschichten von der Algarve",2
"263","Der eine ist stumm der andere ein Blinder",1
"264","Der Eisenhans",1
"265","Der Engel vom westlichen Fenster",1
"266","Der Eremit",1
"267","Der erste Uhrmacher im Jouxtal",2
"268","Der ewige Spießer",1
"269","Der Fall Collini",1
"270","Der Feldwegnd",1
"271","Der Fernsehgast oder wie ich lernte die Welt zu sehen",1
"272","Der Fliegenmelker",1
"273","Der Fluch der Maorifrau",1
"274","Der Fluss",1
"275","Der fromme Tanz",1
"276","Der Fuchs war damals schon der Jägernd",1
"277","Der fünfte Erzengel",1
"278","Der Fürst der Bleichgesichter",1
"279","Der Garten",2
"280","Der Garten der alten Dame",1
"281","Der Gedenkstein",1
"282","Der Gefangene von Heidelberg",1
"283","Der Gehilfe des Malers",1
"284","Der gehorsame Rebell",1
"285","Der geköpfte Hahn",1
"286","Der Geschmack von Apfelkernen",2
"287","Der geteilte Himmel",1
"288","Der Goalie bin ig",1
"289","Der Golem",3
"290","Der Golemnd",1
"291","Der große Bagarozy",1
"292","Der grüne Kakadu",1
"293","Der Gusej",1
"294","Der gute Geist des Yellowstone",2
"295","Der gute Gerhard",1
"296","Der hessische Landbote",1
"297","Der Hexer und die Henkerstochter",1
"298","Der Himmel über Darjeeling",1
"299","Der Hüter der Schwelle",1
"300","Der Hüter der Schwellen",1
"301","Der Irre von St James",1
"302","Der JadePavillon",1
"303","Der kaukasische Kreidekreis",1
"304","Der Klang der Fanfare",1
"305","Der kleine Herr Friedemannrk",1
"306","Der König von Olten",1
"307","Der König von Taoro",1
"308","Der Kontrabass",1
"309","Der letzte Sommer",1
"310","Der Mantel der Dichterin",1
"311","Der Meister des Jüngsten Tages",1
"312","Der Mensch erscheint im Holozän",1
"313","Der Meridian und andere Prosa",1
"314","Der Messias",1
"315","Der Montagsmann",1
"316","Der nasse Fisch",1
"317","Der neue Pinocchio",3
"318","Der neue Prozess",1
"319","Der Ohrenzeuge",1
"320","Der Ölprinz",1
"321","Der Papst und das Mädchen",1
"322","Der Portugiese ist der beste Liebhaber",1
"323","Der Prozess",4
"324","Der Prozessn",1
"325","Der Rabbi von Bacherach",1
"326","Der Raub Straßburgs",1
"327","Der Räuber",1
"328","Der Richter und sein Henkerröisch",1
"329","Der Rosarote Himmel",1
"330","Der Sandmann",1
"331","Der Schatten des Galiläers",1
"332","Der Schatten des Galiläersn",1
"333","Der Schatten von Thot",1
"334","Der Schimmelreiter",1
"335","Der Schlangenbaum",1
"336","Der Schwarm",1
"337","Der Schwarmrk",1
"338","Der schwarze Mustang",1
"339","Der schwarze Obelisk",1
"340","Der Seelen Erwachen",1
"341","Der Stellvertreter",1
"342","Der Steppenwolf",1
"343","Der Struwwelpeter",1
"344","Der stumme Tod",2
"345","Der Sturz des Antichrist",1
"346","Der Tag an dem ich feststellte dass Fische nicht klettern können",1
"347","Der Tag von Santa Inés",1
"348","Der Tangospieler",1
"349","Der Tod in Venedig",3
"350","Der Tod in Venedig galic",1
"351","Der Tunnel",1
"352","Der Untergang der Titanicrk",1
"353","Der Vater",1
"354","Der Vater eines Mörders",1
"355","Der verlorene Weg",2
"356","Der Vogel auf dem Tisch",1
"357","Der Vorleser",3
"358","Der Wanderer zwischen beiden Welten",1
"359","Der Weg zurück",1
"360","Der Weltensammler",1
"361","Der Zauberberg",1
"362","Deutsche Sagen",1
"363","Deutschstunde Chinese",1
"364","Die Ampullen von Lorenzini",1
"365","Die Aufzeichnungen des Malte Laurids Brigge",1
"366","Die Aufzeichnungen des Malte Laurids Briggen",1
"367","Die Augen der Medusa",1
"368","Die Bande",1
"369","Die Bedrohungrk",1
"370","Die beiden Hände des Sperbers",1
"371","Die Belagerten",1
"372","Die Billigesser neugriech",1
"373","Die Blume des Bösen",1
"374","Die Brillenmacherinnd",1
"375","Die Brücke über den Fluss",1
"376","Die Brücke vom Goldenen Horn",1
"377","Die Brücke vom Goldenen Horn neugriech",1
"378","Die Brücke von Avignon",1
"379","Die Bürger von Schildatoroman",1
"380","Die chinesische Mauer",1
"381","Die deutsche Sprachinsel Lusern",1
"382","Die Dienstagsfrauen",2
"383","Die Drachen von Montesecco",1
"384","Die drei  und der Eisenmann",1
"385","Die drei Sprünge des Wanglun",1
"386","Die Entdeckung der Currywurst",1
"387","Die Entdeckung der Liebe",1
"388","Die Ermordung einer Butterblume und andere Erzählungen",1
"389","Die ersten drei Jahre",1
"390","Die Erzählung der Magd Zerline neugriech",1
"391","Die Erziehung der Engeltoroman",1
"392","Die Farben der Liebe",1
"393","Die Feder ist die Schwester des Pinsels",1
"394","Die Fische von Berlin",1
"395","Die Fliege und die Suppe und 33 andere Tiere in 33 anderen Situationen",1
"396","Die Frau des Ketzersnd",1
"397","Die Frau vom Meer",1
"398","Die Frauen von Janowka",2
"399","Die Freiheit riecht nach Vanille",1
"400","Die Gästeliste",1
"401","Die Geheimnisse",1
"402","Die Geschichte der Wolken",2
"403","Die Geschichte der zwei Jesusknaben",1
"404","Die gläsernen Ringend",1
"405","Die Goldene Stadt im Untersberg",1
"406","Die Götter die ich rief  Morpheus Demeter Athene Tyche",1
"407","Die Gottesmutter",1
"408","Die Harfe der Hugenottinnd",1
"409","Die hässliche Herzogin Margarete Maultaschn",1
"410","Die hässlichste Frau der Welt",1
"411","Die Henkerstochter",2
"412","Die Henkerstochter und der König der Bettler",1
"413","Die Henkerstochter und der schwarze Mönch",2
"414","Die Herrenausstatterin",1
"415","Die Hochzeit von Auschwitz",1
"416","Die Hochzeit von PortauPrince",1
