"","author","language"
"19569","Joop,Wolfgang","lit"
"19582","Kresswitz,Nina","lit"
"19586","Köttner-Benigni,Klara","ger"
"19592","Troll,Thaddäus","ger"
"19686","Bickel,Margot","per"
"19785","Bau,Holger","ger"
"19824","McCay,Bill","ger"
"19829","Lederer,Joe","ger"
"19838","Martin,Hansjörg","fin"
"19914","Rolf,Antonia","ger"
"20010","Winckler,Britta","est"
"20021","Schröder,Burkhard","est"
"20064","Kuppel,Gotthart","ger"
"20145","Weill,Kurt","kor"
"20179","Anderhandt,Jakob","chi"
"20184","Noll,Wulf","ger"
"20187","Murnau,RichardF.","ger"
"20223","Bender,Hans","kor"
"20263","Hela,OrtrunBrunhild","lav"
"20301","Lenz,Anita","chi"
"20328","Aebli,Kurt","rum"
"20354","Schuster,Gaby","lav"
"20376","Müller-Guttenbrunn,Adam","rum"
"20389","Hall,Constance","ger"
"20439","Hille,UlrikeMarie","ger"
"20447","Wyss,JohannRudolf","rum"
"20472","Robbins,Tom","ger"
"20486","Sadr,Hamid","per"
"20545","Peng,Hildefons","roh"
"20558","Wintersteiner,Marianne","est"
"20701","Winckler,Britta","est"
"20714","Pinthus,Kurt","ger"
"20760","Stejn,Karl","ger"
"20777","Duncker,Dora","est"
"20787","Tegetthoff,Folke","ger"
"20811","Schroeder,Ulla","ger"
"20854","Wolf,Hugo","ger"
"20875","Winckler,Britta","est"
"20997","Hoffmann,Reinhold","ger"
"21031","Limacher,Roland","lit"
"21071","Moser,Erwin","tha"
"21103","Hassel,Mike","rum"
"21109","Faro,Marlene","lit"
"21126","Brussolo,Serge","ger"
"21128","Kusenberg,Kurt","kor"
"21136","Schuster,Gaby","lav"
"21153","Lükens,Markus","est"
"21194","Hammacher,Wilfried","rum"
"21218","Schnyder,Monika","ger"
"21255","Stejn,Karl","ger"
"21273","Benyovszky,Karl","slo"
"21351","Rechberger,Rainer","ger"
"21367","Schmied,Wieland","lit"
"21368","Claßen,Andrea","lit"
"21381","Lindemann,Bernd","ger"
"21434","Völker,Peter","ger"
"21488","Neumann,Walter","ger"
"21557","Becker,MarthaEllen","ger"
"21574","Jung,Peter","ger"
"21637","Schlesak,Dieter","rum"
"21656","Stejn,Karl","ger"
"21662","Fiechtner,UrsM.","ger"
"21718","Isherwood,Christopher","est"
"21727","Buder,Johan","ger"
"21766","Gaugler-Straumann,Barbara","ger"
"21767","Hueck-Dehio,Else","est"
"21777","Regnier,Anatol","heb"
"21844","Winckler,Britta","est"
"21894","Schippers,Wilhelm","slo"
"21916","Schimmel,Annemarie","ara"
"21929","Rother,Alfred","ger"
"21955","Margwelaschwili,Giwi","geo"
"22042","Schütz,Stefan","ger"
"22142","Werth,Babette","ger"
"22154","Beutelspacher,Albrecht","kor"
"22163","Conrad,Michael","est"
"22320","Zimmermann,Christa-Maria","slo"
"22367","Gaugler-Straumann,Barbara","ger"
"22376","Erkel,Ferenc","ger"
"22459","Liebetreu,Donald","ger"
"22493","Frank,Martin","ger"
"22541","Stejn,Karl","ger"
"22552","Beethoven,Ludwigvan","ger"
"22749","Daive,Jean","ger"
"22844","Somplatzki,Herbert","ger"
"22879","Wehrli,PeterK.","ger"
"22910","Gellhaus,Axel","ger"
"22936","Schlesak,Dieter","rum"
"22947","Sylva,Carmen","rum"
"22994","Bachér,Ingrid","rum"
"23025","Holtei,Karlvon","lav"
