"","place","match","place_clean.x","place.y","group.y","place_clean.y","distance","Freq","latitude","longitude"
"152","Hô Chí Minh",331,"Ho Chi Minh","Hò Chí Minh",331,"Ho Chi Minh",1,1,10.7758439,106.7017555
"153","Hojbjerg",336,"Hojbjerg","Højbjerg",336,"Hojbjerg",1,1,56.1136618,10.1903165
"154","Højbjerg",336,"Hojbjerg","Hojbjerg",336,"Hojbjerg",1,18,56.1136618,10.1903165
"155","Homburg",176,"Homburg","Hamburg",34,"Hamburg",1,2,49.3181673,7.3340336
"156","Hoorn",339,"Hoorn","Horn",339,"Horn",1,3,52.62254545,5.06772658814782
"157","Horn",339,"Horn","Hoorn",339,"Hoorn",1,1,52.62254545,5.06772658814782
"158","Iaşi",347,"Iasi","Iași",347,"Iasi",1,67,47.1615341,27.5836142
"159","Iași",347,"Iasi","Iaşi",347,"Iasi",1,1,47.1615341,27.5836142
"160","Imola",352,"Imola","Izola",352,"Izola",1,1,44.3535145,11.7141233
"161","Irun",282,"Irun","Irún",282,"Irun",1,3,43.3383176,-1.7888095
"162","Irun",282,"Irun","Trun",754,"Trun",1,3,43.3383176,-1.7888095
"163","Irún",282,"Irun","Irun",282,"Irun",1,7,43.3383176,-1.7888095
"164","Iruña",357,"Iruna","Iruñea",357,"Irunea",1,1,42.8184538,-1.6442556
"165","Iruñea",357,"Irunea","Iruña",357,"Iruna",1,6,42.8184538,-1.6442556
"166","Istanbul",360,"Istanbul","İstanbul",360,"Istanbul",1,34,41.0091982,28.9662187
"167","İstanbul",360,"Istanbul","Istanbul",360,"Istanbul",1,230,41.0091982,28.9662187
"168","Ivano Frankifs k",361,"Ivano Frankifs k","Ivano Frankivs k",361,"Ivano Frankivs k",1,1,NA,NA
"169","Ivano Frankivs k",361,"Ivano Frankivs k","Ivano Frankifs k",361,"Ivano Frankifs k",1,2,48.9225224,24.7103188
"170","Ivano Frankivs k",361,"Ivano Frankivs k","Ivano Frankivsʹk",361,"Ivano Frankivs'k",1,2,48.9225224,24.7103188
"171","Ivano Frankivsʹk",361,"Ivano Frankivs'k","Ivano Frankivs k",361,"Ivano Frankivs k",1,2,48.7481718,24.5207477
"172","Izola",352,"Izola","Imola",352,"Imola",1,2,45.5398936,13.65939
"173","Kalinigrad",375,"Kalinigrad","Kaliningrad",375,"Kaliningrad",1,1,41.1550594,77.7887907
"174","Kaliningrad",375,"Kaliningrad","Kalinigrad",375,"Kalinigrad",1,5,54.710128,20.5105838
"175","Kaliningrad",375,"Kaliningrad","Kaliningrado",375,"Kaliningrado",1,5,54.710128,20.5105838
"176","Kaliningrado",375,"Kaliningrado","Kaliningrad",375,"Kaliningrad",1,1,54.710128,20.5105838
"177","Katowice",379,"Katowice","Kazowice",379,"Kazowice",1,277,50.2137321,19.0058877566063
"178","Kazowice",379,"Kazowice","Katowice",379,"Katowice",1,1,NA,NA
"179","Kiel",390,"Kiel","Biel",93,"Biel",1,2,54.3227085,10.135555
"180","Kiel",390,"Kiel","Kiev",390,"Kiev",1,2,54.3227085,10.135555
"181","Kiev",390,"Kiev","Kiel",390,"Kiel",1,4,50.4500336,30.5241361
"182","Københaven",398,"Kobenhaven","København",398,"Kobenhavn",1,1,NA,NA
"183","Kobenhavn",398,"Kobenhavn","København",398,"Kobenhavn",1,3,55.6867243,12.5700724
"184","København",398,"Kobenhavn","Københaven",398,"Kobenhaven",1,357,55.6867243,12.5700724
