"","author","count"
"273","Heinichen, Veit",9
"274","Heiss, Sonja",3
"275","Heitz, Markus",15
"276","Held, Monika",6
"277","Heldt, Dora",15
"278","Heller, Eva",16
"279","Henisch, Peter",6
"280","Henke, Sandra",2
"281","Henri, Diane d'",2
"282","Herbst, Alban Nikolai",3
"283","Herm, Gerhard",3
"284","Hermann, Judith",36
"285","Herrndorf, Wolfgang",18
"286","Herzl, Theodor",3
"287","Herzmanovsky-Orlando, Fritz von",2
"288","Hess, Annette",14
"289","Hesse, Hermann",120
"290","Hettche, Thomas",15
"291","Heym, Georg",12
"292","Heym, Stefan",11
"293","Heyse, Paul",4
"294","Hilbig, Wolfgang",19
"295","Hildesheimer, Wolfgang",11
"296","Hilgendorff, Hermann",2
"297","Hillenbrand, Tom",8
"298","Hilscher, Eberhard",1
"299","Hilsenrath, Edgar",26
"300","Hochgatterer, Paulus",8
"301","Hoddis, Jakob van",2
"302","Hoffmann, E. T. A.",74
"303","Hoffmann, Heinrich",5
"304","Hofmann, Gert",18
"305","Hofmannsthal, Hugo von",31
"306","Hohberg, Annette",1
"307","Hohlbein, Wolfgang",31
"308","Hohler, Franz",10
"309","Hölderlin, Friedrich",65
"310","Holst, Evelyn",4
"311","Holz, Arno",3
"312","Holzach, Alexander",4
"313","Honigmann, Barbara",11
"314","Hoppe, Felicitas",14
"315","Horster, Hans-Ulrich",3
"316","Horváth, Ödön von",30
"317","Hoyer, Heike",2
"318","Huch, Ricarda",7
"319","Huchel, Peter",13
"320","Huizing, Klaas",6
"321","Hülsmann, Petra",8
"322","Hültner, Robert",1
"323","Hünermann, Wilhelm",15
"324","Hürlimann, Thomas",18
"325","Imhof, Agnes",5
"326","Ingold, Felix Philipp",3
"327","Izquierdo, Andreas",2
"328","Jahnn, Hans Henny",13
"329","Jandl, Ernst",10
"330","Janosch",4
"331","Jaud, Tommy",16
"332","Jelinek, Elfriede",72
"333","Jenny, Zoë",11
"334","Jünger, Ernst",38
"335","Jünger, Friedrich Georg",2
"336","Kafka, Franz",135
"337","Kaléko, Mascha",2
"338","Kalisa, Karin",2
"339","Kaminer, Wladimir",25
"340","Kaminski, André",8
"341","Kandinsky, Wassily",2
"342","Karg, Cassian",2
"343","Kaschnitz, Marie Luise",6
"344","Kasten, Mona",10
"345","Kästner, Erich",24
"346","Kastner, Jörg",15
"347","Kehlmann, Daniel",54
"348","Keilson, Hans",21
"349","Keller, Claudia",5
"350","Keller, Gottfried",18
"351","Kellermann, Bernhard",6
"352","Kelter, Jochen",2
"353","Kempowski, Walter",8
"354","Kermani, Navid",2
"355","Keun, Irmgard",18
"356","Keyserling, Eduard von",15
"357","Khayat, Rasha",2
"358","Khider, Abbas",8
"359","Kieseritzky, Ingomar von",3
"360","Kinkel, Tanja",17
"361","Kirchhoff, Bodo",18
"362","Kirsch, Sarah",12
"363","Kirst, Hans Hellmut",14
"364","Kirsten, Wulf",3
"365","Kishon, Ephraim",7
"366","Klabund",5
"367","Klein, Georg",8
"368","Kleist, Heinrich von",52
"369","Kliesch, Vincent",4
"370","Kling, Thomas",4
"371","Klingemann, Ernst August Friedrich",2
"372","Klinger, Friedrich Maximilian von",4
"373","Kloeble, Christopher",3
"374","Kluge, Alexander",9
"375","Klugmann, Norbert",2
"376","Klüssendorf, Angelika",8
"377","Knauss, Sibylle",8
"378","Kneip, Matthias",3
"379","Knellwolf, Ulrich",4
"380","Knister",2
"381","Knittel, John",6
"382","Koch, Erich",2
"383","Koch, Ursula",8
"384","Koeppen, Wolfgang",19
"385","Kofler, Werner",3
"386","Köhler, Joachim",5
"387","Köhlmeier, Michael",19
"388","Kolbe, Uwe",4
"389","Kolmar, Gertrud",11
"390","Komenda-Soentgerath, Olly",1
"391","Koneffke, Jan",3
"392","Könnecke, Ole",8
"393","Konsalik, Heinz G.",49
"394","Kooij, Rachel van",1
"395","Kopacka, Werner",1
"396","Kornfeld, Paul",3
"397","Kotzebue, August von",1
